dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,3,1,FlowOCT,0,0.91,0.77540107,3600.380213,0,0.677,0.694,0.915,0.907
blsc,3,1,FlowOCT,0,0.92,0.684491979,3600.178732,0,0.677,0.694,0.922,0.889
blsc,3,1,FlowOCT,0,0.93,0.842342342,3600.30783,0,0.583,0.586,0.983,0.955
blsc,3,1,FlowOCT,0,0.94,0.837837838,3600.452068,0,0.583,0.586,0.983,0.955
blsc,3,1,FlowOCT,0,0.95,0.801801802,3600.329771,0,0.583,0.586,0.983,0.955
blsc,3,1,FlowOCT,0,0.96,0.816143498,3600.218942,0,0.620,0.599,0.974,0.957
blsc,3,1,FlowOCT,0,0.97,0.765765766,3600.274747,0,0.583,0.586,0.983,0.955
blsc,3,2,FlowOCT,0,0.88,0.246753247,3600.087974,0,0.684,0.701,0.902,0.929
blsc,3,2,FlowOCT,0,0.89,0.117647059,3600.08072,0,0.686,0.707,0.891,0.872
blsc,3,2,FlowOCT,0,0.9,0.032467532,3600.104442,0,0.684,0.701,0.910,0.907
blsc,3,2,FlowOCT,0,0.91,0.064102564,3600.08404,0,0.679,0.713,0.916,0.891
blsc,3,2,FlowOCT,0,0.92,0.234972678,3600.139887,0,0.622,0.605,0.939,0.893
blsc,3,2,FlowOCT,0,0.93,0.213114754,3600.170291,0,0.622,0.605,0.939,0.893
blsc,3,2,FlowOCT,0,0.94,0.179347826,3600.126543,0,0.620,0.611,0.950,0.960
blsc,3,2,FlowOCT,0,0.95,0.201086957,3600.175521,0,0.620,0.611,0.950,0.960
blsc,3,2,FlowOCT,0,0.96,0.290322581,3600.078394,0,0.615,0.637,0.961,0.966
blsc,3,2,FlowOCT,0,0.97,0.23655914,3600.072838,0,0.615,0.637,0.973,0.933
blsc,3,3,FlowOCT,0,0.88,0.029145729,3600.257057,0,0.701,0.675,0.883,0.813
blsc,3,3,FlowOCT,0,0.89,0.056716418,3600.095005,0,0.699,0.669,0.914,0.809
blsc,3,3,FlowOCT,0,0.9,0,3050.627134,0,0.699,0.669,0.914,0.809
blsc,3,3,FlowOCT,0,0.91,0.113432836,3600.258455,0,0.699,0.669,0.914,0.809
blsc,3,3,FlowOCT,0,0.92,0,3079.150914,0,0.694,0.669,0.942,0.822
blsc,3,3,FlowOCT,0,0.93,0,2869.192159,0,0.694,0.669,0.942,0.822
blsc,3,3,FlowOCT,0,0.94,0,2835.818867,0,0.694,0.669,0.942,0.822
blsc,3,3,FlowOCT,0,0.95,0.140752864,3600.098354,0,0.632,0.586,0.976,0.909
blsc,3,3,FlowOCT,0,0.96,0.144026187,3600.112925,0,0.632,0.573,0.964,0.955
blsc,3,3,FlowOCT,0,0.97,0.132569558,3600.117827,0,0.632,0.586,0.976,0.909
blsc,3,4,FlowOCT,0,0.88,0,2342.942512,0,0.701,0.675,0.903,0.765
blsc,3,4,FlowOCT,0,0.89,0,2952.847597,0,0.701,0.675,0.903,0.765
