dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,3,3,FlowOCT,0,0.72,0.994382023,3600.253197,0,0.523,0.512,0.720,0.679
ctmc,3,3,FlowOCT,0,0.74,0.995033113,3600.256379,0,0.458,0.442,0.778,0.746
ctmc,3,3,FlowOCT,0,0.76,0.994836489,3600.173438,0,0.480,0.461,0.766,0.714
ctmc,3,3,FlowOCT,0,0.78,0.994871795,3600.152858,0,0.476,0.474,0.781,0.776
ctmc,3,3,FlowOCT,0,0.8,0.995153473,3600.220096,0,0.446,0.515,0.803,0.817
ctmc,3,3,FlowOCT,0,0.82,0.99533437,3600.199331,0,0.424,0.466,0.835,0.875
ctmc,3,4,FlowOCT,0,0.64,0.994152047,3600.26855,0,0.542,0.509,0.651,0.614
ctmc,3,4,FlowOCT,0,0.66,0.994174757,3600.585008,0,0.540,0.507,0.674,0.650
ctmc,3,4,FlowOCT,0,0.68,0.994392523,3600.288753,0,0.521,0.501,0.692,0.678
ctmc,3,4,FlowOCT,0,0.7,0.994671883,3600.457827,0,0.495,0.496,0.701,0.694
ctmc,3,4,FlowOCT,0,0.72,0.994475138,3600.750944,0,0.514,0.515,0.726,0.692
ctmc,3,4,FlowOCT,0,0.74,0.994991653,3601.590292,0,0.463,0.447,0.774,0.723
ctmc,3,4,FlowOCT,0,0.76,0.995145631,3600.860873,0,0.446,0.420,0.786,0.735
ctmc,3,4,FlowOCT,0,0.78,0.99512987,3600.554248,0,0.447,0.409,0.786,0.735
ctmc,3,4,FlowOCT,0,0.8,0.995098039,3600.367069,0,0.452,0.412,0.800,0.767
ctmc,3,4,FlowOCT,0,0.82,0.995275591,3601.74658,0,0.431,0.398,0.845,0.792
ctmc,4,1,FlowOCT,0,0.64,0.982893964,3603.78378,0,0.449,0.434,0.677,0.738
ctmc,4,1,FlowOCT,0,0.66,0.982837802,3601.632151,0,0.461,0.434,0.688,0.681
ctmc,4,1,FlowOCT,0,0.68,0.980419325,3601.1648,0,0.537,0.499,0.702,0.650
ctmc,4,1,FlowOCT,0,0.7,0.982048426,3602.347226,0,0.481,0.450,0.722,0.625
ctmc,4,1,FlowOCT,0,0.72,0.981975875,3603.971956,0,0.476,0.423,0.721,0.610
ctmc,4,1,FlowOCT,0,0.74,0.981959152,3603.397357,0,0.464,0.407,0.779,0.655
ctmc,4,1,FlowOCT,0,0.76,0.981972883,3601.291462,0,0.487,0.458,0.776,0.712
ctmc,4,1,FlowOCT,0,0.78,0.98291036,3601.280958,0,0.435,0.409,0.782,0.649
ctmc,4,1,FlowOCT,0,0.8,0.98389857,3602.568699,0,0.394,0.377,0.843,0.733
ctmc,4,1,FlowOCT,0,0.82,0.98391043,3602.699948,0,0.391,0.385,0.824,0.778
ctmc,4,2,FlowOCT,0,0.64,0.993048853,3602.425517,0,0.468,0.431,0.685,0.667
ctmc,4,2,FlowOCT,0,0.66,0.992377625,3601.790131,0,0.527,0.466,0.706,0.674
ctmc,4,2,FlowOCT,0,0.68,0.992274039,3600.431087,0,0.527,0.480,0.681,0.650
ctmc,4,2,FlowOCT,0,0.7,0.992403649,3601.512263,0,0.528,0.469,0.705,0.656
ctmc,4,2,FlowOCT,0,0.72,0.992615071,3600.415932,0,0.504,0.444,0.734,0.630
ctmc,4,2,FlowOCT,0,0.74,0.992055926,3601.383232,0,0.540,0.482,0.741,0.705
ctmc,4,2,FlowOCT,0,0.76,0.992550629,3601.758014,0,0.510,0.453,0.770,0.681
ctmc,4,2,FlowOCT,0,0.78,0.992421148,3601.473744,0,0.485,0.439,0.789,0.672
ctmc,4,2,FlowOCT,0,0.8,0.993191332,3601.360289,0,0.462,0.412,0.803,0.739
ctmc,4,2,FlowOCT,0,0.82,0.993488772,3600.369397,0,0.451,0.431,0.821,0.750
ctmc,4,3,FlowOCT,0,0.64,0.99695122,3601.379586,0,0.462,0.442,0.704,0.650
ctmc,4,3,FlowOCT,0,0.66,0.996430105,3601.259525,0,0.543,0.518,0.692,0.591
ctmc,4,3,FlowOCT,0,0.68,0.996558198,3601.386043,0,0.524,0.531,0.683,0.667
ctmc,4,3,FlowOCT,0,0.7,0.996711066,3600.243628,0,0.506,0.526,0.706,0.673
ctmc,4,3,FlowOCT,0,0.72,0.996620526,3602.074594,0,0.519,0.515,0.730,0.694
ctmc,4,3,FlowOCT,0,0.74,0.99669984,3600.919147,0,0.506,0.466,0.745,0.619
ctmc,4,3,FlowOCT,0,0.76,0.996837919,3600.933287,0,0.486,0.482,0.773,0.708
ctmc,4,3,FlowOCT,0,0.78,0.997018446,3601.369946,0,0.448,0.472,0.792,0.755
ctmc,4,3,FlowOCT,0,0.8,0.997022322,3600.572828,0,0.449,0.453,0.821,0.792
ctmc,4,3,FlowOCT,0,0.82,0.997149499,3600.651447,0,0.428,0.415,0.829,0.737
ctmc,4,4,FlowOCT,0,0.64,0.994371482,3600.47139,0,0.527,0.512,0.683,0.661
ctmc,4,4,FlowOCT,0,0.66,0.994285714,3600.475148,0,0.534,0.512,0.699,0.675
ctmc,4,4,FlowOCT,0,0.68,0.994186047,3600.509604,0,0.543,0.469,0.680,0.605
ctmc,4,4,FlowOCT,0,0.7,0.995057231,3601.528404,0,0.509,0.493,0.721,0.695
ctmc,4,4,FlowOCT,0,0.72,0.994773519,3600.823998,0,0.492,0.431,0.727,0.672
ctmc,4,4,FlowOCT,0,0.74,0.994642857,3600.430881,0,0.505,0.469,0.747,0.684
ctmc,4,4,FlowOCT,0,0.76,0.994889268,3601.651343,0,0.481,0.447,0.783,0.710
ctmc,4,4,FlowOCT,0,0.78,0.994736842,3600.886204,0,0.495,0.442,0.783,0.700
ctmc,4,4,FlowOCT,0,0.8,0.995657254,3600.658847,0,0.438,0.417,0.802,0.690
ctmc,4,4,FlowOCT,0,0.82,0.995391705,3600.497248,0,0.423,0.371,0.850,0.500
ctmc,2,1,C-BinOCT,0,0.54,8.33E-05,139.770345,0,0.558,0.509,0.642,0.595
ctmc,2,1,C-BinOCT,0,0.56,9.73E-05,173.961735,0,0.558,0.509,0.642,0.595
ctmc,2,1,C-BinOCT,0,0.58,7.40E-05,140.5241709,0,0.558,0.509,0.642,0.595
ctmc,2,1,C-BinOCT,0,0.6,7.41E-05,150.783143,0,0.558,0.509,0.642,0.595
ctmc,2,1,C-BinOCT,0,0.62,1.61E-05,146.1134119,0,0.558,0.509,0.642,0.595
ctmc,2,1,C-BinOCT,0,0.64,0,110.019918,0,0.558,0.509,0.642,0.595
ctmc,2,1,C-BinOCT,0,0.66,5.07E-05,141.9069951,0,0.549,0.520,0.664,0.603
ctmc,2,1,C-BinOCT,0,0.68,0,123.053261,0,0.543,0.499,0.747,0.720
ctmc,2,1,C-BinOCT,0,0.7,0,128.727865,0,0.543,0.499,0.747,0.720
ctmc,2,1,C-BinOCT,0,0.72,0,137.6704161,0,0.543,0.499,0.747,0.720
ctmc,2,2,C-BinOCT,0,0.54,0,148.1919591,0,0.558,0.493,0.657,0.618
ctmc,2,2,C-BinOCT,0,0.56,9.71E-05,157.82602,0,0.558,0.493,0.657,0.618
ctmc,2,2,C-BinOCT,0,0.58,0,143.424655,0,0.558,0.493,0.657,0.618
