dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc,test_acc,train_prec,test_prec
nwth,4,2,IDSA4-PIP,,1,1,0.888198758,,1817.405418,,0,0.888,0.815,1,1
nwth,4,2,IDSA-PIP,,1,1,0.888198758,,1411.724832,,0,0.888,0.815,1,1
nwth,4,3,Full MIP,,1,1,0.397515528,1.515625,3607.762479,3607.903587,0,0.398,0.352,1,0.75
nwth,4,3,F-PIP,,1,1,0.322981366,,742.0087094,,0,0.323,0.296,1,1
nwth,4,3,ISA-PIP,,1,1,0.322981366,,1832.996311,,0,0.323,0.352,1,1
nwth,4,3,FD4-PIP,,1,1,0.49689441,,383.3099167,,0,0.497,0.37,1,0.8
nwth,4,3,FD-PIP,,1,1,0.50310559,,390.6429288,,0,0.509,0.389,1,0.889
nwth,4,3,IDSA4-PIP,,1,1,1,,619.9500835,,0,1,0.907,1,0.923
nwth,4,3,IDSA-PIP,,1,1,1,,643.1174846,,0,1,0.907,1,0.923
nwth,4,4,Full MIP,,1,1,1,0,3186.545694,3186.545694,0,1,0.889,1,0.9
nwth,4,4,F-PIP,,1,1,0.335403727,,509.1237409,,0,0.335,0.259,1,0.667
nwth,4,4,ISA-PIP,,1,1,0.360248447,,3092.073559,,0,0.36,0.278,1,0.75
nwth,4,4,FD4-PIP,,1,1,0.98757764,,364.3855622,,0,0.988,0.833,1,0.892
nwth,4,4,FD-PIP,,1,1,0.98136646,,382.7321701,,0,0.981,0.833,1,0.892
nwth,4,4,IDSA4-PIP,,1,1,1,,269.4720039,,0,1,0.87,1,0.878
nwth,4,4,IDSA-PIP,,1,1,1,,264.2874155,,0,1,0.87,1,0.878
htds,4,1,Full MIP,10,1,0.83,0.697777778,0.433121019,3600.045838,3600.175046,0,0.698,0.5,0.894,0.727
htds,4,1,F-PIP,10,1,0.83,0.68,,590.3584025,,0,0.68,0.5,0.894,0.727
htds,4,1,ISA-PIP,10,1,0.83,0.68,,1998.503073,,0,0.68,0.5,0.894,0.727
htds,4,1,FD4-PIP,10,1,0.83,0.871111111,,704.4826024,,0,0.871,0.526,0.959,0.717
htds,4,1,FD-PIP,10,1,0.83,0.897777778,,549.4014261,,0,0.898,0.513,0.967,0.739
htds,4,1,IDSA4-PIP,10,1,0.83,0.951111111,,2795.13739,,0,0.951,0.539,0.968,0.756
htds,4,1,IDSA-PIP,10,1,0.83,0.88,,1010.906899,,0,0.88,0.553,0.938,0.723
htds,4,2,Full MIP,7,1,0.83,0.706666667,0.41509434,3600.058766,3600.187153,0,0.707,0.5,0.837,0.708
htds,4,2,F-PIP,7,1,0.83,0.702222222,,561.9551482,,0,0.702,0.5,0.837,0.708
htds,4,2,ISA-PIP,7,1,0.83,0.702222222,,1958.346707,,0,0.702,0.5,0.837,0.708
htds,4,2,FD4-PIP,7,1,0.83,0.84,,563.5891647,,0,0.84,0.5,0.901,0.702
htds,4,2,FD-PIP,7,1,0.83,0.84,,505.0020149,,0,0.84,0.5,0.902,0.762
htds,4,2,IDSA4-PIP,7,1,0.83,0.888888889,,2385.046763,,0,0.889,0.461,0.975,0.75
htds,4,2,IDSA-PIP,7,1,0.83,0.853333333,,1340.741735,,0,0.853,0.553,0.938,0.837
htds,4,3,Full MIP,11,1,0.83,0.68,0.470588235,2.662429094,3600.310797,0,0.68,0.566,0.848,0.745
htds,4,3,F-PIP,11,1,0.83,0.675555556,,593.0341892,,0,0.676,0.553,0.848,0.745
htds,4,3,ISA-PIP,11,1,0.83,0.675555556,,1934.702653,,0,0.676,0.553,0.848,0.745
htds,4,3,FD4-PIP,11,1,0.83,0.902222222,,678.4124465,,0,0.902,0.592,0.938,0.787
htds,4,3,FD-PIP,11,1,0.83,0.88,,636.1047001,,0,0.88,0.526,0.91,0.72
htds,4,3,IDSA4-PIP,11,1,0.83,0.884444444,,2981.559081,,0,0.884,0.553,0.976,0.74
htds,4,3,IDSA-PIP,11,1,0.83,0.902222222,,1911.501111,,0,0.902,0.553,0.984,0.755
