method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
C-BinOCT,balance_scale,3,2,0,0.92,199.0,0.0,2.350093126296997,0.0,0.5747863247863247,0.5414012738853503,0.9333333333333333,0.8666666666666667
C-BinOCT,balance_scale,3,2,0,0.93,199.0,0.0,3.849890947341919,0.0,0.5747863247863247,0.5414012738853503,0.9333333333333333,0.8666666666666667
C-BinOCT,balance_scale,3,2,0,0.94,203.0,0.0,3.300436019897461,0.0,0.5662393162393162,0.5668789808917197,0.9454545454545454,0.85
C-BinOCT,balance_scale,3,2,0,0.95,217.0,0.0,4.350563049316406,0.0,0.5363247863247863,0.5286624203821656,0.972972972972973,0.8461538461538461
C-BinOCT,balance_scale,3,2,0,0.96,216.99999999599999,0.0,2.096163034439087,0.0,0.5363247863247863,0.5286624203821656,0.972972972972973,0.8461538461538461
C-BinOCT,balance_scale,3,2,0,0.97,217.0,0.0,3.6748929023742676,0.0,0.5363247863247863,0.5286624203821656,0.972972972972973,0.8461538461538461
C-BinOCT,balance_scale,4,2,0,0.88,187.0,0.0,4.1407129764556885,0.0,0.6004273504273504,0.5796178343949044,0.8961038961038961,0.8695652173913043
C-BinOCT,balance_scale,4,2,0,0.89,187.0,0.0,3.5409021377563477,0.0,0.6004273504273504,0.5796178343949044,0.8961038961038961,0.8695652173913043
C-BinOCT,balance_scale,4,2,0,0.9,189.0,0.0,2.6046628952026367,0.0,0.5961538461538461,0.5732484076433121,0.918918918918919,0.7692307692307693
C-BinOCT,balance_scale,4,2,0,0.91,189.0,0.0,2.0862059593200684,0.0,0.5961538461538461,0.5732484076433121,0.918918918918919,0.7692307692307693
C-BinOCT,balance_scale,4,2,0,0.92,200.0,0.0,2.6298439502716064,0.0,0.5726495726495726,0.5477707006369427,0.9482758620689655,0.8235294117647058
C-BinOCT,balance_scale,4,2,0,0.93,200.0,0.0,1.9974019527435303,0.0,0.5726495726495726,0.5477707006369427,0.9482758620689655,0.8235294117647058
C-BinOCT,balance_scale,4,2,0,0.94,200.0,0.0,2.4960410594940186,0.0,0.5726495726495726,0.5477707006369427,0.9482758620689655,0.8235294117647058
C-BinOCT,balance_scale,4,2,0,0.95,215.0,0.0,2.545114040374756,0.0,0.5405982905982906,0.5095541401273885,0.95,0.8
C-BinOCT,balance_scale,4,2,0,0.96,231.0,0.0,3.3680899143218994,0.0,0.5064102564102564,0.47770700636942676,1.0,0.6666666666666666
