approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,balance_scale_onehot,3,468,4,0,0.96,0.1,3600,9,-109.3,0,3600.270383,99.54254346,0.743589744,0.75,0.700636943,0.963768116,0.957446809,0.823529412,5358,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.97,0.1,3600,9,-123.6,0,3600.262317,99.59546926,0.709401709,0.717948718,0.694267516,0.975,0.975,0.902439024,4389,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.88,0.5,3600,9,-62,0,3600.309255,96.77419355,0.758547009,0.756410256,0.713375796,0.892215569,0.978723404,0.786885246,1619,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.89,0.5,3600,9,-59,0,3600.142867,95.76271186,0.771367521,0.807692308,0.707006369,0.895953757,0.948275862,0.766666667,3024,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.9,0.5,3600,9,-66.5,0,3600.212531,96.2406015,0.737179487,0.782051282,0.681528662,0.901315789,0.943396226,0.75,5559,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.91,0.5,3600,9,-67,0,3600.321071,96.26865672,0.735042735,0.769230769,0.681528662,0.912751678,0.960784314,0.75,2919,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.92,0.5,3600,9,-68.5,0,3600.430333,96.35036496,0.728632479,0.769230769,0.687898089,0.922535211,0.942307692,0.781818182,2882,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.93,0.5,3600,9,-67,0,3600.153809,96.26865672,0.737179487,0.75,0.687898089,0.930555556,0.93877551,0.866666667,2029,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.94,0.5,3600,9,-78.5,0,3600.23889,96.81528662,0.69017094,0.679487179,0.630573248,0.940677966,0.923076923,0.761904762,3004,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.95,0.5,3600,9,-73,0,3600.157975,97.26027397,0.709401709,0.737179487,0.681528662,0.959349593,1,0.844444444,3298,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.96,0.5,3600,9,-77,0,3600.286351,96.75324675,0.698717949,0.647435897,0.649681529,0.965517241,0.967741935,0.842105263,2817,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,4,0,0.97,0.5,3600,9,-76.5,0,3600.279994,96.73202614,0.700854701,0.692307692,0.656050955,0.974358974,1,0.8,3463,0,0,0,0
